freq,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,FI	181.1 	178.1 	177.2 	178.3 	179.8 	179.5 	179.2 	177.3 	162.9 	157.0 	149.0 	144.0 	139.1 	131.8 	127.4 	123.0 	120.0 	118.2 	116.7 	115.3 	99.6 	98.3 bp
A,FR	163.6 	159.8 	156.8 	155.0 	153.1 	152.3 	149.9 	149.4 	140.1 	133.5 	130.5 	127.7 	124.4 	117.4 	114.2 	111.0 	109.8 	110.4 	112.2 	113.8 	98.5 	108.6 bp
A,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	127.1 	115.8 	112.8 	111.5 	113.1 	115.3 	119.4 	111.7 	129.0 bp
A,HU	: 	: 	: 	: 	158.5 	156.3 	154.6 	155.0 	153.4 	153.4 	147.4 	141.6 	140.8 	134.4 	133.0 	129.6 	125.9 	125.6 	127.9 	129.7 	116.6 	133.0 bp
A,IE	161.3 	166.6 	164.3 	166.7 	167.6 	166.8 	166.3 	161.6 	156.8 	144.4 	133.2 	128.3 	125.1 	120.7 	117.1 	114.1 	112.0 	111.6 	113.3 	113.8 	106.1 	112.6 bp
A,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	116.8 	114.3 	80.0 	80.3 bp
A,IT	155.1 	158.3 	156.6 	152.9 	150.0 	149.5 	149.2 	146.5 	144.7 	136.3 	132.7 	129.6 	126.2 	121.1 	118.1 	115.2 	113.3 	113.3 	115.9 	119.4 	108.3 	124.6 bp
A,LT	: 	: 	: 	: 	187.5 	186.3 	163.4 	176.5 	170.1 	166.0 	150.9 	144.4 	144.2 	139.8 	135.8 	130.0 	126.2 	127.4 	128.6 	132.0 	119.3 	135.7 bp
A,LU	176.7 	177.0 	173.8 	173.5 	169.7 	168.6 	168.2 	165.8 	159.5 	152.5 	146.0 	142.2 	137.0 	133.4 	129.9 	127.5 	126.1 	127.0 	131.4 	133.0 	119.7 	123.8 bp
A,LV	: 	: 	: 	: 	192.4 	187.2 	183.1 	183.5 	180.6 	176.9 	162.0 	154.4 	152.0 	147.1 	140.4 	137.1 	128.9 	128.8 	128.8 	127.9 	119.4 	142.5 bp
