"Statistic Label","Year","Transport Traffic Site","Weeks of the year","UNIT","VALUE"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 25","Number","397286"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 26","Number","413348"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 27","Number","449555"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 28","Number","463106"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 29","Number","471550"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 30","Number","473671"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 31","Number","476103"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 32","Number","467430"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 33","Number","463641"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 34","Number","459846"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 35","Number","468215"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 36","Number","474557"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 37","Number","477994"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 38","Number","451770"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 39","Number","420403"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 40","Number","417913"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 41","Number","388453"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 42","Number","380446"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 43","Number","338897"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 44","Number","279363"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 45","Number","334772"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 46","Number","346055"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 47","Number","354476"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 48","Number","364810"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 49","Number","427251"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 50","Number","451974"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 51","Number","491375"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 52","Number","376254"
"Average weekly volume of cars","2020","Selected traffic sites - Dublin","Week 53","Number","235248"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 01","Number","272255"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 02","Number","255928"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 03","Number","258384"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 04","Number","265613"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 05","Number","274482"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 06","Number","274363"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 07","Number","292400"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 08","Number","304825"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 09","Number","319482"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 10","Number","333343"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 11","Number","302788"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 12","Number","338888"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 13","Number","327226"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 14","Number","317690"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 15","Number","398787"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 16","Number","411255"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 17","Number","414958"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 18","Number","397630"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 19","Number","460196"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 20","Number","476938"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 21","Number","497019"
"Average weekly volume of cars","2021","Selected traffic sites - Dublin","Week 22","Number","503412"
